date,year,month,hour,season,weekday,is_holiday,working_day,weather_sit,is_covid,temp,wind,humidity,total_count
2018-01-09,2018,1,2,1,1,0,1,1.0,0,-1.3172249252954833,0.15838531416539592,1.5299811146253628,9.0
2018-01-09,2018,1,3,1,1,0,1,1.0,0,-1.4207910818045495,-0.3363344592459106,1.9016666908284863,4.0
2018-01-09,2018,1,4,1,1,0,1,2.0,0,-1.4207910818045495,-0.08897457254025733,1.9016666908284863,6.0
2018-01-09,2018,1,5,1,1,0,1,2.0,0,-1.4207910818045495,-0.831054232657217,1.9016666908284863,50.0
2018-01-09,2018,1,6,1,1,0,1,2.0,0,-1.5243572383136157,-0.5836943459515638,1.9016666908284863,155.0
2018-01-09,2018,1,7,1,1,0,1,2.0,0,-1.6279233948226821,-0.5836943459515638,1.9016666908284863,352.0
2018-01-09,2018,1,8,1,1,0,1,2.0,0,-1.6279233948226821,0.15838531416539592,1.9016666908284863,716.0
2018-01-09,2018,1,9,1,1,0,1,4.0,0,-1.5243572383136157,-0.5836943459515638,1.9016666908284863,351.0
2018-01-09,2018,1,10,1,1,0,1,2.0,0,-1.3172249252954833,-0.3363344592459106,1.9016666908284863,163.0
2018-01-09,2018,1,11,1,1,0,1,1.0,0,-1.2136587687864169,-0.3363344592459106,1.9016666908284863,165.0
2018-01-09,2018,1,12,1,1,0,1,1.0,0,-0.9029602992592182,-0.831054232657217,0.8928058411342941,217.0
2018-01-09,2018,1,13,1,1,0,1,2.0,0,-0.6958279862410857,-0.9547341760100437,-0.11605500855989793,247.0
2018-01-09,2018,1,14,1,1,0,1,1.0,0,-0.38512951671388684,0.776785030929529,-1.071817918796501,199.0
2018-01-09,2018,1,15,1,1,0,1,1.0,0,-0.48869567322295315,0.40574520087104915,-1.12491585825409,328.0
2018-01-09,2018,1,16,1,1,0,1,1.0,0,-0.799394142750152,-0.831054232657217,-0.5939364636781994,531.0
2018-01-09,2018,1,17,1,1,0,1,1.0,0,-0.799394142750152,-0.9547341760100437,-0.5939364636781994,907.0
2018-01-09,2018,1,18,1,1,0,1,1.0,0,-1.1100926122773507,-0.9547341760100437,0.043238809812869226,729.0
2018-01-09,2018,1,19,1,1,0,1,2.0,0,-1.2136587687864169,-0.3363344592459106,0.5742182043887598,400.0
2018-01-09,2018,1,20,1,1,0,1,1.0,0,-1.1100926122773507,-1.6968138361270033,0.3087285071008145,268.0
2018-01-09,2018,1,21,1,1,0,1,1.0,0,-1.3172249252954833,-1.6968138361270033,0.8928058411342941,153.0
2018-01-09,2018,1,22,1,1,0,1,1.0,0,-1.4207910818045495,-0.9547341760100437,0.8928058411342941,103.0
2018-01-09,2018,1,23,1,1,0,1,1.0,0,-1.4207910818045495,-0.9547341760100437,0.5742182043887598,42.0
2018-01-10,2018,1,0,1,2,0,1,1.0,0,-1.6279233948226821,-0.831054232657217,1.1582955384222393,13.0
2018-01-10,2018,1,1,1,2,0,1,1.0,0,-1.6279233948226821,-0.3363344592459106,0.8397079016767051,8.0
2018-01-10,2018,1,2,1,2,0,1,1.0,0,-1.6279233948226821,-0.5836943459515638,0.8397079016767051,8.0
2018-01-10,2018,1,3,1,2,0,1,1.0,0,-1.4207910818045495,-0.831054232657217,0.3087285071008145,4.0
2018-01-10,2018,1,4,1,2,0,1,2.0,0,-1.6279233948226821,-1.6968138361270033,0.8397079016767051,10.0
2018-01-10,2018,1,5,1,2,0,1,2.0,0,-1.7314895513317485,-0.831054232657217,1.1582955384222393,71.0
2018-01-10,2018,1,6,1,2,0,1,2.0,0,-1.6279233948226821,-0.831054232657217,1.1582955384222393,229.0
2018-01-10,2018,1,7,1,2,0,1,2.0,0,-1.5243572383136157,-1.6968138361270033,0.8397079016767051,609.0
